"text","polarity"
"ينفخ","neg"
"نبذ","neg"
"يفتي","neg"
"يعرص","neg"
"تتشرد","neg"
"تخرب","neg"
"تسفل","neg"
"نباح","neg"
"يترب","neg"
"تشويهه","neg"
"نميمه","neg"
"تفتر","neg"
"يربوك","neg"
"تهدم","neg"
"تحزن","neg"
"محتل","neg"
"يخطئ","neg"
"يشتمو","neg"
"يتهجر","neg"
"تخين","neg"
"نايكاك","neg"
"تخونو","neg"
"يحرمو","neg"
"تتصاب","neg"
"تعورين","neg"
"تقاعص","neg"
"يخز","neg"
"تنقط","neg"
"نسي","neg"
"تستبيحو","neg"
"تعيط","neg"
"تشعل","neg"
"يتشل","neg"
"يذبح","neg"
"يحتج","neg"
"تحرق","neg"
"تفجير","neg"
"يستغيث","neg"
"يهمل","neg"
"يتمم","neg"
"نعدم","neg"
"يقبض","neg"
"يدمر","neg"
"نايب","neg"
"نترحم","neg"
"نقتص","neg"
"يكسرو","neg"
"يعورو","neg"
"تسخن","neg"
"ترتجف","neg"
"تلقن","neg"
"تعذب","neg"
"تعتقلع","neg"
"نسف","neg"
"يتحرق","neg"
"يخترق","neg"
"يحزن","neg"
"تجرو","neg"
"يمكر","neg"
"نشد","neg"
"يماطل","neg"
"ناهب","neg"
"تتهم","neg"
"تهييص","neg"
"تكلك","neg"
"تخون","neg"
"يقلعوك","neg"
"تستخف","neg"
"تخسر","neg"
"تشرذم","neg"
"نفاقك","neg"
"ينتقم","neg"
"يقتلو","neg"
"تستهبلوش","neg"
"تسرق","neg"
"تعجيز","neg"
"يعتقل","neg"
"تحذر","neg"
"تهين","neg"
"يرموك","neg"
"تمرد","neg"
"تنرفز","neg"
"كادب","neg"
"تسليح","neg"
"يتسلح","neg"
"تهيج","neg"
"تزهق","neg"
"تنضرب","neg"
"ندام","neg"
"نفضح","neg"
"تكسر","neg"
"ينبح","neg"
"تحرم","neg"
"قرف","neg"
"تهدد","neg"
"نهدد","neg"
"يحبس","neg"
"نحبس","neg"
"تغرق","neg"
"نغرق","neg"
"تضرب","neg"
"نضرب","neg"
"تتعدم","neg"
"نتعدم","neg"
"نلعن","neg"
"تغتصب","neg"
"نغتصب","neg"
"تصرخ","neg"
"نصرخ","neg"
"تشجب","neg"
"نشجب","neg"
"نخون","neg"
"تستغل","neg"
"نستغل","neg"
"نهين","neg"
"نعذب","neg"
"تتنيل","neg"
"يتنيل","neg"
"تنتنيل","neg"
"ننتنيل","neg"
"تغش","neg"
"نغش","neg"
"نكدب","neg"
"نعصب","neg"
"يواطء","neg"
"يخازل","neg"
"نخازل","neg"
"يخبط","neg"
"نخبط","neg"
"تتخطف","neg"
"نتخطف","neg"
"تسكت","neg"
"نهدم","neg"
"تسقط","neg"
"نسقط","neg"
"تدبحو","neg"
"ندبحو","neg"
"نخريب","neg"
"نقتل","neg"
"يكدس","neg"
"نكدس","neg"
"تستنزف","neg"
"يستنزف","neg"
"يهرب","neg"
"نهرب","neg"
"تغور","neg"
"نغور","neg"
"نتهان","neg"
"تفضح","neg"
"تعتفر","neg"
"تنهزم","neg"
"ينهزم","neg"
"نتشتم","neg"
"يولع","neg"
"نولع","neg"
"نحرق","neg"
"تعل","neg"
"تشل","neg"
"نشل","neg"
"تطغ","neg"
"نطغ","neg"
"يكذبو","neg"
"نكذبو","neg"
"نعيط","neg"
"يحرم","neg"
"يخاف","neg"
"نخاف","neg"
"يتفنن","neg"
"ينسا","neg"
"يخلف","neg"
"نخلف","neg"
"يهزيء","neg"
"نهزيء","neg"
"يريق","neg"
"نريق","neg"
"ترعب","neg"
"نرعب","neg"
"تزلزل","neg"
"نزلزل","neg"
"يشتت","neg"
"نشتت","neg"
"نهيج","neg"
"تكر","neg"
"يكر","neg"
"تتحبسوا","neg"
"نتحبسو","neg"
"تتعذب","neg"
"نتعذب","neg"
"تنس","neg"
"تهرتل","neg"
"تشتموك","neg"
"نشتموك","neg"
"تتعر","neg"
"يتعر","neg"
"ينتحر","neg"
"ننتحر","neg"
"تصاب","neg"
"تقصر","neg"
"نقصر","neg"
"تخوف","neg"
"نخوف","neg"
"نسب","neg"
"تستهزء","neg"
"يستهزء","neg"
"تفتن","neg"
"نفتن","neg"
"تاخدك","neg"
"ناخدك","neg"
"يسفك","neg"
"نسفك","neg"
"توري","neg"
"تربيه","neg"
"تتريق","neg"
"نتريق","neg"
"تفشخ","neg"
"يفشخ","neg"
"تلطش","neg"
"نلطش","neg"
"يجسس","neg"
"نجسس","neg"
"يتفرس","neg"
"يزعل","neg"
"تعر","neg"
"نعر","neg"
"تفلس","neg"
"نفلس","neg"
"يتحشر","neg"
"تلعنك","neg"
"نلعنك","neg"
"ينهش","neg"
"ننهش","neg"
"تهب","neg"
"يهب","neg"
"يكفر","neg"
"نكفر","neg"
"تهان","neg"
"يهان","neg"
"ننبح","neg"
"تنيكك","neg"
"ننيكك","neg"
"نشتمو","neg"
"تتبعزق","neg"
"يتبعزق","neg"
"تتسحل","neg"
"يتسحل","neg"
"تستسلم","neg"
"يستسلم","neg"
"يتخرس","neg"
"نتخرس","neg"
"يركع","neg"
"تخب","neg"
"يكسف","neg"
"نكسف","neg"
"نسرق","neg"
"نكسر","neg"
"نسخر","neg"
"تزعلو","neg"
"نزعلو","neg"
"تنافق","neg"
"ننافق","neg"
"يتحسر","neg"
"تمهل","neg"
"نمهل","neg"
"تسرقو","neg"
"يغصبن","neg"
"تحسس","neg"
"نحسس","neg"
"تنفخ","neg"
"ننفخ","neg"
"تبذ","neg"
"يبذ","neg"
"نفت","neg"
"نركب","neg"
"تعرص","neg"
"نعرص","neg"
"يتشرد","neg"
"نتشرد","neg"
"يسفل","neg"
"نسفل","neg"
"تترب","neg"
"نترب","neg"
"يشويه","neg"
"يفتر","neg"
"نفتر","neg"
"تربوك","neg"
"نربوك","neg"
"نحزن","neg"
"تخطئ","neg"
"نخطئ","neg"
"ننس","neg"
"يخونو","neg"
"نخونو","neg"
"تحرمو","neg"
"نحرمو","neg"
"يتصاب","neg"
"نتصاب","neg"
"يعورين","neg"
"تخز","neg"
"نخز","neg"
"ينقط","neg"
"يستبيحو","neg"
"يشعل","neg"
"نشعل","neg"
"تتشل","neg"
"نتشل","neg"
"تذبح","neg"
"تحتج","neg"
"نحتج","neg"
"تستغيث","neg"
"نستغيث","neg"
"تهمل","neg"
"نهمل","neg"
"تعدم","neg"
"يعدم","neg"
"تقبض","neg"
"تدمر","neg"
"تترحم","neg"
"يترحم","neg"
"تقتص","neg"
"يقتص","neg"
"يخاذل","neg"
"تكسرو","neg"
"نكسرو","neg"
"تعورو","neg"
"نعور","neg"
"يسخن","neg"
"يرتجف","neg"
"نرتجف","neg"
"نلقن","neg"
"يعتقلع","neg"
"نعتقلع","neg"
"يرن","neg"
"تتحرق","neg"
"نتحرق","neg"
"تخترق","neg"
"يجرو","neg"
"نجرو","neg"
"تمكر","neg"
"يخو","neg"
"تشد","neg"
"تماطل","neg"
"نماطل","neg"
"ياهب","neg"
