"Source","Target","Weight"
"اتق الله","اتقي الله","0.73782"
"اتقي","يمهل و لا يهمل","0.70408"
"اتقي","اتقي الله","0.73956"
"احسن","معفن","0.72555"
"احيك","احييك","0.71975"
"احييك","اهنيك","0.76642"
"احييك","نشكرك","0.82138"
"احييك","مهل","0.81243"
"احييك","يتحسر","0.78220"
"احييك","يتطاول","0.80338"
"احييك","هواهم","0.73390"
"احييك","نوافق","0.75345"
"احييك","توافق","0.74513"
"احييك","استيلاء","0.74452"
"احييك","تعترض","0.71889"
"احييك","تتطاول","0.75184"
"احييك","اعترض","0.77235"
"احييك","نعترض","0.73284"
"اخرس","اخرص","0.86078"
"ارحمنا","ارحمني","0.85088"
"استهبل","عندك حق","0.73371"
"استهبل","معك حق","0.75326"
"استهبل","معاك حق","0.72062"
"استيلاء","نشكرك","0.79063"
"استيلاء","مهل","0.81246"
"استيلاء","يتحسر","0.75587"
"استيلاء","يتطاول","0.78558"
"استيلاء","هواهم","0.71037"
"استيلاء","نوافق","0.71752"
"استيلاء","تتطاول","0.71674"
"استيلاء","اعترض","0.71490"
"اعترض","اهنيك","0.71539"
"اعترض","نشكرك","0.79545"
"اعترض","مهل","0.78011"
"اعترض","يتحسر","0.75263"
"اعترض","يتطاول","0.79002"
"اعترض","هواهم","0.71256"
"اعترض","نوافق","0.77252"
"اعترض","توافق","0.74079"
"اعترض","يعترض","0.73255"
"اعترض","تتطاول","0.70537"
"اعترض","نعترض","0.71987"
"افلس","نفلس","0.76705"
"افلس","تفلس","0.71221"
"الحمد","الحمدالله","0.74156"
"الحمد","الحمد الله","0.70458"
"الحمد","الحمد لله","0.74002"
"الحمد الله","الحمدالله","0.85885"
"الحمد الله","الحمد لله","0.81797"
"الحمد لله","الحمدالله","0.83316"
"الف شكر","شكرا","0.71705"
"انا معاك","مشكلته","0.74806"
"انا معاك","معك حق","0.75666"
"انصر","عجل","0.71870"
"انصر","تنصر","0.70782"
"اهنيك","نشكرك","0.74633"
"اهنيك","مهل","0.72670"
"اهنيك","يتحسر","0.70781"
"اهنيك","يتطاول","0.71679"
"اهنيك","نعترض","0.70109"
"اياكم","ينصرك","0.74130"
"اياكم","ينصره","0.71639"
"اياكم","يمهل و لا يهمل","0.73307"
"اياكم","ينصرهم","0.70228"
"اياكم","يرحمه","0.71268"
"اياكم","يسامح","0.71444"
"اياكم","يخرب بيوتكم","0.73048"
"بتخاف","بتفهم","0.75086"
"تتريق","تغلط","0.70039"
"تتطاول","نشكرك","0.77536"
"تتطاول","مهل","0.78601"
"تتطاول","تطاول","0.72135"
"تتطاول","يتحسر","0.74176"
"تتطاول","يتطاول","0.79076"
"تتطاول","هواهم","0.70967"
"تتطاول","تعترض","0.71683"
"تتقمص","يتقمص","0.80928"
"تجبر","نشكرك","0.72676"
"تجبر","مهل","0.74683"
"تجبر","يتطاول","0.73173"
"تحفظ","تحمي","0.73942"
"تسيئ","نسيئ","0.76318"
"تسيئ","يسيئ","0.71170"
"تضحك","خف","0.78906"
"تطاول","يتطاول","0.77299"
