"Source","Target","Weight"
"متخلفه","تافهه","0.31948"
"متخلفه","بتخاف","0.37303"
"متخلفه","بتفهم","0.39410"
"متخلفه","هبله","0.31261"
"متخلفه","همج","0.30016"
"متخلفه","محترمه","0.38837"
"متخلفه","بتحبك","0.31847"
"متخلفه","اغبياء","0.31172"
"متخلفه","اجدع","0.47495"
"متخلفه","معندهاش دم","0.56315"
"اهدار","هدر","0.33244"
"تافهه","غريب","0.31116"
"تافهه","حلو","0.31895"
"تافهه","مقرف","0.30196"
"تافهه","حق","0.32792"
"تافهه","صح","0.30985"
"تافهه","سخيف","0.33065"
"تافهه","طيب","0.32578"
"تافهه","محترمه","0.32172"
"تافهه","مستفزه","0.34618"
"تافهه","هي ناقصه","0.30421"
"تافهه","اهم","0.35005"
"تافهه","حلوه","0.33214"
"تافهه","اي كلام","0.32123"
"تافهه","تتريق","0.31572"
"تافهه","واضح","0.30434"
"تافهه","غلط","0.32029"
"تافهه","احسن","0.33589"
"تافهه","اعترض","0.30239"
"اهنيك","ينصرك","0.35675"
"اهنيك","الحمدالله","0.40849"
"اهنيك","شكر","0.34229"
"اهنيك","مبدع","0.37478"
"اهنيك","تفهمك","0.30423"
"اهنيك","غريب","0.30523"
"اهنيك","نشكرك","0.60773"
"اهنيك","يخاف","0.31309"
"اهنيك","صدق","0.33092"
"اهنيك","الحمد الله","0.38136"
"اهنيك","تعدي","0.31048"
"اهنيك","استهبل","0.34235"
"اهنيك","اجبار","0.38185"
"اهنيك","يحفز","0.30654"
"اهنيك","تحريض","0.35787"
"اهنيك","الحمد","0.35498"
"اهنيك","رائع","0.35330"
"اهنيك","الف شكر","0.48341"
"اهنيك","حرض","0.39659"
"اهنيك","متفوق","0.35027"
"اهنيك","جزاك الله خيرا","0.34804"
"اهنيك","يوافق","0.38083"
"اهنيك","يحرم","0.31986"
"اهنيك","يسلم فمك","0.32294"
"اهنيك","جميل","0.38096"
"اهنيك","مهل","0.48664"
"اهنيك","طهاره","0.36441"
"اهنيك","حاقد","0.34461"
"اهنيك","حلو","0.39548"
"اهنيك","نتفق","0.33460"
"اهنيك","تطاول","0.36278"
"اهنيك","مخرب","0.30732"
"اهنيك","مقرف","0.30304"
"اهنيك","الخير","0.37639"
"اهنيك","حب","0.31559"
"اهنيك","حق","0.39084"
"اهنيك","حسبي الله ونعم الوكيل","0.36145"
"اهنيك","حبيب قلبي","0.31166"
"اهنيك","متواضع","0.31842"
"اهنيك","تعجبني","0.30012"
"اهنيك","احييك","0.68731"
"اهنيك","ما شاء الله","0.32016"
"اهنيك","نضحك","0.31077"
"اهنيك","يخرب بيتك","0.31724"
"اهنيك","خلق","0.31159"
"اهنيك","روحك","0.32349"
"اهنيك","حمد الله","0.31086"
"اهنيك","خير","0.33261"
"اهنيك","نتطاول","0.33892"
"اهنيك","غالي","0.32347"
"اهنيك","صح","0.38027"
"اهنيك","يفتري","0.35290"
"اهنيك","روعه","0.42074"
"اهنيك","اتغلب","0.34610"
"اهنيك","استاذ","0.32732"
"اهنيك","الاشراف","0.32768"
"اهنيك","الحمد لله","0.43570"
"اهنيك","دعس","0.30454"
"اهنيك","صعبه","0.31051"
"اهنيك","الابداع","0.33836"
"اهنيك","نزايد","0.34606"
"اهنيك","اسف","0.32229"
"اهنيك","طيب","0.34763"
"اهنيك","يتحسر","0.46195"
"اهنيك","يخلف","0.43374"
"اهنيك","اروع","0.30900"
"اهنيك","عفريت","0.34901"
"اهنيك","حبيبي","0.35453"
"اهنيك","حبيبتي","0.31608"
"اهنيك","هي ناقصه","0.30895"
"اهنيك","تشرف","0.35059"
"اهنيك","مجبر","0.32913"
